[32mresult: 0.0202103, ground_truth: 0.019206
result: 0.083683, ground_truth: 0.083293
result: -0.147362, ground_truth: -0.146573
result: 0.138664, ground_truth: 0.138284
result: 0.181923, ground_truth: 0.181749
result: -0.0442696, ground_truth: -0.0442753
result: -0.100464, ground_truth: -0.100883
result: -0.0925789, ground_truth: -0.0934029
result: -0.151604, ground_truth: -0.15102
result: 0.0355759, ground_truth: 0.0359859
result: -0.0889435, ground_truth: -0.0889549
result: -0.00181961, ground_truth: -0.00101089
result: 0.021019, ground_truth: 0.0206203
result: 0.0163727, ground_truth: 0.0159712
result: -0.0780258, ground_truth: -0.0786448
result: -0.00161743, ground_truth: -0.00222397
result: -0.0634727, ground_truth: -0.0640879
result: 0.167572, ground_truth: 0.167193
result: -0.0663033, ground_truth: -0.0671206
result: -0.0491219, ground_truth: -0.0495319
result: -0.0151596, ground_truth: -0.0149612
result: 0.0325432, ground_truth: 0.0321445
result: 0.100662, ground_truth: 0.100679
result: -0.19931, ground_truth: -0.19853
result: -0.0869217, ground_truth: -0.086731
result: 0.131187, ground_truth: 0.131813
result: -0.140285, ground_truth: -0.140711
result: 0.0628624, ground_truth: 0.063076
result: 0.0960159, ground_truth: 0.0966368
result: 0.156654, ground_truth: 0.157288
result: 0.137249, ground_truth: 0.137273
result: -0.00222397, ground_truth: -0.00202179
result: 0.0228386, ground_truth: 0.0238552
result: -0.150188, ground_truth: -0.150819
result: -0.0165749, ground_truth: -0.0171852
result: 0.227608, ground_truth: 0.227238
result: -0.0840912, ground_truth: -0.0834961
result: 0.240948, ground_truth: 0.240986
result: 0.194859, ground_truth: 0.194081
result: 0.124718, ground_truth: 0.124131
result: -0.0723686, ground_truth: -0.0711641
result: 0.0525551, ground_truth: 0.0523615
result: -0.00343704, ground_truth: -0.00303268
result: -0.0361824, ground_truth: -0.0365934
result: -0.345051, ground_truth: -0.345305
result: 0.0101051, ground_truth: 0.010108
result: 0.0960159, ground_truth: 0.0960302
result: -0.0216293, ground_truth: -0.02143
result: -0.0177879, ground_truth: -0.016983
result: -0.0772171, ground_truth: -0.0776329
result: 0.12027, ground_truth: 0.120896
result: -0.0438652, ground_truth: -0.0444775
result: -0.142509, ground_truth: -0.143136
result: -0.00930023, ground_truth: -0.00950241
result: -0.0111198, ground_truth: -0.0105133
result: 0.0980339, ground_truth: 0.0976477
result: 0.0853004, ground_truth: 0.0851126
result: 0.0658951, ground_truth: 0.0661087
result: 0.0671082, ground_truth: 0.0673218
result: 0.0654907, ground_truth: 0.0648956
result: 0.299366, ground_truth: 0.29921
result: -0.333328, ground_truth: -0.333579
result: -0.277538, ground_truth: -0.276365
result: 0.0515442, ground_truth: 0.0507441
result: -0.0962181, ground_truth: -0.0964355
result: -0.0373955, ground_truth: -0.0386152
result: 0.202339, ground_truth: 0.202371
result: 0.212444, ground_truth: 0.212277
result: -0.0887413, ground_truth: -0.0877419
result: 0.151604, ground_truth: 0.151019
result: -0.0943985, ground_truth: -0.0952225
result: -0.0432587, ground_truth: -0.0434666
result: -0.0038414, ground_truth: -0.00363922
result: 0.0644798, ground_truth: 0.0648956
result: -0.184353, ground_truth: -0.183571
result: -0.0952072, ground_truth: -0.0956268
result: -0.0489197, ground_truth: -0.0493298
result: -0.169796, ground_truth: -0.170429
result: 0.145741, ground_truth: 0.145157
result: 0.33009, ground_truth: 0.331153
result: 0.0382042, ground_truth: 0.037199
result: -0.260357, ground_truth: -0.25999
result: 0.0853004, ground_truth: 0.0855169
result: -0.33717, ground_truth: -0.336207
result: -0.0412369, ground_truth: -0.0412426
result: -0.26844, ground_truth: -0.269088
result: -0.270462, ground_truth: -0.270704
result: 0.111176, ground_truth: 0.110585
result: -0.195267, ground_truth: -0.195903
result: 0.0614471, ground_truth: 0.0618629
result: 0.0398178, ground_truth: 0.0398264
result: -0.122093, ground_truth: -0.121505
result: -0.0321426, ground_truth: -0.031539
result: -0.101475, ground_truth: -0.102299
result: 0.222149, ground_truth: 0.222993
result: -0.12735, ground_truth: -0.127367
result: -0.156658, ground_truth: -0.156681
result: -0.14069, ground_truth: -0.141316
result: 0.273087, ground_truth: 0.272927
result: -0.103699, ground_truth: -0.103915
result: -0.0622597, ground_truth: -0.063077
result: 0.104908, ground_truth: 0.104724
result: 0.0774155, ground_truth: 0.0778351
result: 0.042244, ground_truth: 0.0426569
result: 0.0935898, ground_truth: 0.0927954
result: 0.00929642, ground_truth: 0.0090971
result: -0.0620575, ground_truth: -0.0628748
result: -0.12553, ground_truth: -0.124537
result: 0.0109138, ground_truth: 0.010108
result: -0.20295, ground_truth: -0.202978
result: 0.226395, ground_truth: 0.226429
result: -0.0572052, ground_truth: -0.0574169
result: -0.0780258, ground_truth: -0.0780382
result: -0.0471001, ground_truth: -0.0471058
result: -0.02911, ground_truth: -0.0281019
result: -0.118858, ground_truth: -0.118876
result: -0.0305252, ground_truth: -0.0299215
result: 0.149582, ground_truth: 0.150008
result: -0.107338, ground_truth: -0.107352
result: -0.0996552, ground_truth: -0.0996695
result: -0.0946007, ground_truth: -0.0942116
result: -0.0982399, ground_truth: -0.0994673
result: 0.0559921, ground_truth: 0.0564051
result: 0.0198059, ground_truth: 0.0210247
result: 0.0990448, ground_truth: 0.0998707
result: -0.0228424, ground_truth: -0.0232496
result: 0.0654907, ground_truth: 0.0653
result: -0.194054, ground_truth: -0.19469
result: 0.0739822, ground_truth: 0.073185
result: -0.200321, ground_truth: -0.199743
result: -0.0786324, ground_truth: -0.077836
result: 0.128559, ground_truth: 0.128983
result: -0.0133438, ground_truth: -0.0137482
result: -0.214672, ground_truth: -0.214705
result: 0.0588188, ground_truth: 0.0586281
result: -0.0185966, ground_truth: -0.0183983
result: 0.21487, ground_truth: 0.215108
result: -0.321808, ground_truth: -0.322056
result: -0.160904, ground_truth: -0.161331
result: 0.159283, ground_truth: 0.159511
result: -0.152615, ground_truth: -0.153446
result: 0.12674, ground_truth: 0.127164
result: -0.0410347, ground_truth: -0.0402317
result: -0.0612488, ground_truth: -0.0604486
result: 0.112995, ground_truth: 0.112406
result: -0.112793, ground_truth: -0.11281
result: 0.124718, ground_truth: 0.124738
result: 0.0295105, ground_truth: 0.0301228
result: -0.126945, ground_truth: -0.126963
result: -0.0111198, ground_truth: -0.0111198
result: 0.0871201, ground_truth: 0.0875387
result: -0.0899544, ground_truth: -0.0903702
result: 0.0468941, ground_truth: 0.0464983
result: 0.0313301, ground_truth: 0.0309315
result: 0.0660973, ground_truth: 0.0663109
result: -0.102283, ground_truth: -0.101893
result: 0.114208, ground_truth: 0.114225
result: 0.117641, ground_truth: 0.117661
result: -0.330902, ground_truth: -0.331355
result: 0.0925789, ground_truth: 0.0931997
result: 0.0794373, ground_truth: 0.0794516
result: 0.0511398, ground_truth: 0.0507441
result: 0.118855, ground_truth: 0.11847
result: -0.305431, ground_truth: -0.304669
result: -0.226803, ground_truth: -0.226228
result: -0.139477, ground_truth: -0.139296
result: 0.072567, ground_truth: 0.0721741
result: -0.0339584, ground_truth: -0.0331564
result: 0.0131378, ground_truth: 0.013545
result: 0.187584, ground_truth: 0.18741
result: 0.0527573, ground_truth: 0.0527658
result: -0.24762, ground_truth: -0.247658
result: 0.137451, ground_truth: 0.137273
result: 0.158474, ground_truth: 0.159106
result: 0.134018, ground_truth: 0.135049
result: -0.146755, ground_truth: -0.146371
result: -0.135838, ground_truth: -0.135453
result: -0.0917702, ground_truth: -0.0921898
result: -0.199108, ground_truth: -0.19934
result: 0.11158, ground_truth: 0.111596
result: -0.0165749, ground_truth: -0.0163765
result: -0.0109177, ground_truth: -0.0105133
result: 0.150795, ground_truth: 0.151424
result: -0.118454, ground_truth: -0.118471
result: 0.0464897, ground_truth: 0.0464983
result: -0.00202179, ground_truth: -0.00141525
result: -0.0998573, ground_truth: -0.100075
result: -0.112591, ground_truth: -0.113013
result: 0.102886, ground_truth: 0.102298
result: -0.0642815, ground_truth: -0.0646944
result: -0.190617, ground_truth: -0.191455
result: -0.0185966, ground_truth: -0.0194082
result: -0.153221, ground_truth: -0.153649
result: -0.0628662, ground_truth: -0.0624704
result: -0.0772171, ground_truth: -0.0776329
result: 0.161304, ground_truth: 0.161735
result: -0.059227, ground_truth: -0.0588312
result: 0.145134, ground_truth: 0.144753
result: -0.213863, ground_truth: -0.213694
result: 0.0974274, ground_truth: 0.0964346
result: -0.0602379, ground_truth: -0.0600443
result: -0.0240555, ground_truth: -0.0238562
