[32mresult: -0.111996, ground_truth: -0.0193481
result: -0.0736656, ground_truth: -0.011734
result: 0.213211, ground_truth: 0.0364265
result: -0.0604897, ground_truth: -0.010601
result: 0.231777, ground_truth: 0.0409546
result: 0.0850449, ground_truth: 0.0136833
result: 0.452175, ground_truth: 0.0779991
result: 0.0155716, ground_truth: 0.00226212
result: -0.136551, ground_truth: -0.0230522
result: -0.135952, ground_truth: -0.0236702
result: 0.051506, ground_truth: 0.00884628
result: 0.0083847, ground_truth: 0.00123215
result: -0.356949, ground_truth: -0.0612297
result: 0.141941, ground_truth: 0.0244904
result: 0.267712, ground_truth: 0.0456886
result: -0.119781, ground_truth: -0.0206871
result: 0.382702, ground_truth: 0.0655479
result: 0.605495, ground_truth: 0.103828
result: -0.306042, ground_truth: -0.0529976
result: 0.013176, ground_truth: 0.00236511
result: -0.0521049, ground_truth: -0.0088501
result: 0.470741, ground_truth: 0.0810852
result: -0.401867, ground_truth: -0.0684319
result: -0.212013, ground_truth: -0.0361214
result: -0.159309, ground_truth: -0.0270653
result: -1.38348, ground_truth: -0.238327
result: 0.451576, ground_truth: 0.0774841
result: 0.204227, ground_truth: 0.0346756
result: 0.153919, ground_truth: 0.0262375
result: -0.103012, ground_truth: -0.0184212
result: -0.432411, ground_truth: -0.0731659
result: -0.0461159, ground_truth: -0.00813293
result: -0.271305, ground_truth: -0.0468254
result: -0.366531, ground_truth: -0.0621567
result: 0.173084, ground_truth: 0.0294304
result: -0.141941, ground_truth: -0.0245972
result: 0.480923, ground_truth: 0.0825272
result: 0.160507, ground_truth: 0.0270615
result: 0.200035, ground_truth: 0.0338554
result: 0.0329399, ground_truth: 0.00679016
result: -0.116787, ground_truth: -0.0198631
result: 0.127567, ground_truth: 0.0220184
result: 0.157513, ground_truth: 0.0272675
result: 0.218601, ground_truth: 0.0373535
result: 0.0640831, ground_truth: 0.0110092
result: 0.176079, ground_truth: 0.0307655
result: -0.158112, ground_truth: -0.0272713
result: 0.258728, ground_truth: 0.0445557
result: 0.441395, ground_truth: 0.076252
result: 0.309036, ground_truth: 0.0527878
result: 0.0622864, ground_truth: 0.0101852
result: -0.00898361, ground_truth: -0.00123596
result: -0.14793, ground_truth: -0.0247002
result: -0.134754, ground_truth: -0.0234642
result: 0.00539017, ground_truth: 0.00133514
result: 0.325806, ground_truth: 0.0562859
result: -0.212013, ground_truth: -0.0370483
result: 0.0125771, ground_truth: 0.0026741
result: 0.225788, ground_truth: 0.0389977
result: 0.0281487, ground_truth: 0.00401306
result: 0.636639, ground_truth: 0.10918
result: -0.539616, ground_truth: -0.09272
result: 0.197639, ground_truth: 0.0339584
result: 0.0473137, ground_truth: 0.00812912
result: -0.148529, ground_truth: -0.0258293
result: 0.0077858, ground_truth: 0.00112915
result: -0.0173683, ground_truth: -0.00247192
result: -0.32341, ground_truth: -0.0550575
result: -0.337784, ground_truth: -0.0578346
result: -0.110798, ground_truth: -0.0190392
result: 0.432411, ground_truth: 0.0734711
result: -0.461159, ground_truth: -0.0793419
result: 0.0101814, ground_truth: 0.00133514
result: -0.601902, ground_truth: -0.104141
result: -0.434807, ground_truth: -0.0749168
result: -0.150326, ground_truth: -0.0255241
result: 0.051506, ground_truth: 0.00843811
result: -0.346767, ground_truth: -0.0587616
result: 0.00359344, ground_truth: 0.00112915
result: 0.256332, ground_truth: 0.0439377
result: -0.185062, ground_truth: -0.0321083
result: -0.117985, ground_truth: -0.0202751
result: -0.220398, ground_truth: -0.0388985
result: -0.167694, ground_truth: -0.0284042
result: -0.201233, ground_truth: -0.0343704
result: -0.609688, ground_truth: -0.104347
result: 0.220398, ground_truth: 0.0375595
result: -0.658199, ground_truth: -0.113197
result: -0.325806, ground_truth: -0.0553627
result: 0.413845, ground_truth: 0.070488
result: -0.0952263, ground_truth: -0.0172882
result: -0.0503082, ground_truth: -0.00823593
result: 0.0754623, ground_truth: 0.0133743
result: -0.391087, ground_truth: -0.0675087
result: 0.322212, ground_truth: 0.0552597
result: -0.522247, ground_truth: -0.0896301
result: 0.00239563, ground_truth: 0.00123215
result: -0.125771, ground_truth: -0.0214043
result: 0.0347366, ground_truth: 0.00689316
result: 0.0335388, ground_truth: 0.00586319
result: -0.0293465, ground_truth: -0.00483704
result: 0.594715, ground_truth: 0.101566
result: 0.0886383, ground_truth: 0.0147133
result: -0.0239563, ground_truth: -0.00391388
result: -0.058094, ground_truth: -0.010704
result: 0.210217, ground_truth: 0.0362206
result: -0.0329399, ground_truth: -0.006073
result: 0.220398, ground_truth: 0.0376625
result: 0.0814514, ground_truth: 0.0138893
result: -0.227585, ground_truth: -0.0394135
result: -0.1096, ground_truth: -0.0188332
result: -0.0317421, ground_truth: -0.00545502
result: 0.534824, ground_truth: 0.0918922
result: 0.13715, ground_truth: 0.0232544
result: -0.338383, ground_truth: -0.0584526
result: -0.15871, ground_truth: -0.0269623
result: 0.0539017, ground_truth: 0.0100822
result: -0.146133, ground_truth: -0.0253181
result: 0.0922318, ground_truth: 0.0162582
result: -0.47134, ground_truth: -0.0808868
result: 0.0676765, ground_truth: 0.0117302
result: 0.475533, ground_truth: 0.080883
result: 0.161705, ground_truth: 0.0282974
result: 0.0946274, ground_truth: 0.0160522
result: 0.294662, ground_truth: 0.0508347
result: -0.185062, ground_truth: -0.0313873
result: -0.0233574, ground_truth: -0.00381088
result: 0.10421, ground_truth: 0.0175934
result: -0.70192, ground_truth: -0.120296
result: -0.00898361, ground_truth: -0.00123596
result: 0.285679, ground_truth: 0.0489807
result: 0.038929, ground_truth: 0.00658417
result: 0.100616, ground_truth: 0.0174904
result: 0.103012, ground_truth: 0.0181084
result: 0.265915, ground_truth: 0.0448647
result: 0.46595, ground_truth: 0.0799561
result: -0.507874, ground_truth: -0.087162
result: -0.331795, ground_truth: -0.0574226
result: 0.364136, ground_truth: 0.0631828
result: -0.127567, ground_truth: -0.0223312
result: 0.132359, ground_truth: 0.0217094
result: 0.051506, ground_truth: 0.00853729
result: 0.0149727, ground_truth: 0.00215912
result: -0.0401268, ground_truth: -0.00710297
result: 0.0407257, ground_truth: 0.00720215
result: -0.174282, ground_truth: -0.0302544
result: -0.232975, ground_truth: -0.0398254
result: 0.0413246, ground_truth: 0.00689316
result: 0.218002, ground_truth: 0.0376625
result: 0.319817, ground_truth: 0.0552597
result: -0.264118, ground_truth: -0.0451775
result: 0.192249, ground_truth: 0.0338554
result: 0.118584, ground_truth: 0.0205803
result: 0.365932, ground_truth: 0.0626678
result: -0.354553, ground_truth: -0.0605087
result: -0.483318, ground_truth: -0.0833549
result: 0.349163, ground_truth: 0.0596809
result: 0.0556984, ground_truth: 0.0102882
result: 0.195244, ground_truth: 0.0337524
result: 0.167095, ground_truth: 0.0290184
result: 0.120979, ground_truth: 0.0206833
result: -0.223392, ground_truth: -0.0388985
result: -0.198238, ground_truth: -0.0337563
result: 0.0341377, ground_truth: 0.00576019
result: 0.181469, ground_truth: 0.0306625
result: -0.200035, ground_truth: -0.0338593
result: -0.241959, ground_truth: -0.0414734
result: -0.491703, ground_truth: -0.0840759
result: -1.51643, ground_truth: -0.260452
result: -0.201233, ground_truth: -0.0339622
result: 0.0742645, ground_truth: 0.0123482
result: -0.785168, ground_truth: -0.135014
result: -0.226986, ground_truth: -0.0392075
result: -0.231178, ground_truth: -0.0403404
result: 0.138947, ground_truth: 0.0244904
result: -0.543808, ground_truth: -0.09272
result: -0.104809, ground_truth: -0.0178032
result: -0.334789, ground_truth: -0.0572166
result: -0.00239563, ground_truth: -0.000411987
result: -0.56477, ground_truth: -0.0961151
result: -0.642029, ground_truth: -0.109802
result: -0.244354, ground_truth: -0.0420914
result: 0.219799, ground_truth: 0.0374565
result: -0.00479126, ground_truth: -0.000926971
result: -0.560577, ground_truth: -0.0967331
result: -0.111996, ground_truth: -0.0194511
result: 0.189255, ground_truth: 0.0322075
result: 0.00898361, ground_truth: 0.00164413
result: 0.472538, ground_truth: 0.0812912
result: 0.0550995, ground_truth: 0.00884628
result: -0.104809, ground_truth: -0.0182152
result: 0.181469, ground_truth: 0.0305595
result: -0.383301, ground_truth: -0.0657578
result: 0.415642, ground_truth: 0.0716209
result: -0.182068, ground_truth: -0.0312843
result: -0.209019, ground_truth: -0.0358124
result: -0.80014, ground_truth: -0.136456
result: 0.0317421, ground_truth: 0.0054512
result: -0.237167, ground_truth: -0.0410614
result: -0.277893, ground_truth: -0.0477486
result: -0.304844, ground_truth: -0.0524826
result: -0.292866, ground_truth: -0.0503235
result: 0.510269, ground_truth: 0.0875702
result: -0.346169, ground_truth: -0.0597878
result: -0.161106, ground_truth: -0.0273743
result: 0.0119781, ground_truth: 0.00205612
result: 0.228184, ground_truth: 0.0386887
result: -0.221596, ground_truth: -0.0382843
result: 0.181469, ground_truth: 0.0311775
result: -0.299454, ground_truth: -0.0514526
result: 0.467747, ground_truth: 0.080162
result: -0.101814, ground_truth: -0.0170822
result: -0.0425224, ground_truth: -0.00782394
result: 0.144337, ground_truth: 0.0249023
result: -0.160507, ground_truth: -0.0280952
result: 0.0527039, ground_truth: 0.00874329
result: 0.214409, ground_truth: 0.0364265
result: -0.125771, ground_truth: -0.0220222
result: 0.28508, ground_truth: 0.0490837
result: 0.20303, ground_truth: 0.0343666
result: 0.0574951, ground_truth: 0.00905228
result: -0.216805, ground_truth: -0.0370483
result: 0.181469, ground_truth: 0.0308685
result: -0.159309, ground_truth: -0.0277863
result: 0.401268, ground_truth: 0.069767
result: 0.0910339, ground_truth: 0.0160522
result: 0.051506, ground_truth: 0.00874329
result: -0.161106, ground_truth: -0.0277863
result: -0.183865, ground_truth: -0.0322113
result: 0.79475, ground_truth: 0.13686
result: 0.244354, ground_truth: 0.0415726
result: -0.0251541, ground_truth: -0.00473404
result: 0.0173683, ground_truth: 0.0028801
result: 0.0287476, ground_truth: 0.00524521
result: -0.101814, ground_truth: -0.016983
result: -0.355751, ground_truth: -0.0609207
result: 0.0335388, ground_truth: 0.00596619
result: -0.0886383, ground_truth: -0.0146141
result: 0.00958252, ground_truth: 0.00112915
result: 0.0101814, ground_truth: 0.00215912
result: 0.379108, ground_truth: 0.064827
result: -0.123974, ground_truth: -0.0215073
result: 0.0293465, ground_truth: 0.00493622
result: -0.00479126, ground_truth: -0.000720978
result: -0.00119781, ground_truth: 0.000305176
result: -0.0485115, ground_truth: -0.00802994
result: -0.0694733, ground_truth: -0.011734
result: 0.350361, ground_truth: 0.0597839
result: 0.151524, ground_truth: 0.0258255
result: -0.160507, ground_truth: -0.0277863
result: -0.0736656, ground_truth: -0.012764
result: 0.622265, ground_truth: 0.106503
result: 0.341976, ground_truth: 0.0581398
result: -0.227585, ground_truth: -0.0387955
result: -0.0886383, ground_truth: -0.0152321
result: 0.152721, ground_truth: 0.0260315
result: 0.108402, ground_truth: 0.0181084
result: -0.261124, ground_truth: -0.0445595
result: -0.358746, ground_truth: -0.0613327
result: -0.0251541, ground_truth: -0.00452805
result: -0.125771, ground_truth: -0.0218163
result: -0.177876, ground_truth: -0.0305634
result: 0.26292, ground_truth: 0.0454826
result: -0.451576, ground_truth: -0.07687
result: -0.245552, ground_truth: -0.0421944
result: -0.0521049, ground_truth: -0.00998306
result: 0.0898361, ground_truth: 0.0156403
result: -0.252739, ground_truth: -0.0433235
result: -0.235371, ground_truth: -0.0405464
result: -0.355152, ground_truth: -0.0610237
result: -0.090435, ground_truth: -0.0157471
result: -0.128166, ground_truth: -0.0218163
result: -0.0586929, ground_truth: -0.0100861
result: 0.138348, ground_truth: 0.0244904
result: -0.331795, ground_truth: -0.0571136
result: -0.123974, ground_truth: -0.0213051
result: 0.0179672, ground_truth: 0.00411606
result: -0.916328, ground_truth: -0.157036
result: -0.125771, ground_truth: -0.0214043
result: -0.0467148, ground_truth: -0.00751495
result: 0.265915, ground_truth: 0.0457916
result: 0.22459, ground_truth: 0.0389977
result: -0.101814, ground_truth: -0.0172882
result: 0.4384, ground_truth: 0.075943
result: -0.0503082, ground_truth: -0.00772095
result: 0.11499, ground_truth: 0.0199623
result: -0.301849, ground_truth: -0.0520706
result: 0.205425, ground_truth: 0.0361176
result: 0.439598, ground_truth: 0.075531
result: 0.357548, ground_truth: 0.0611229
result: -0.189255, ground_truth: -0.0333443
result: 0.231178, ground_truth: 0.0396156
result: -0.165897, ground_truth: -0.0285072
result: -0.548599, ground_truth: -0.0940552
result: -0.171886, ground_truth: -0.0299454
result: 0.528236, ground_truth: 0.0910683
result: -0.0826492, ground_truth: -0.0139961
result: -0.20303, ground_truth: -0.0342674
result: -0.271305, ground_truth: -0.0462074
result: 0.0826492, ground_truth: 0.0141983
result: -0.0311432, ground_truth: -0.00566101
result: 0.210815, ground_truth: 0.0358086
result: -0.0167694, ground_truth: -0.0032959
result: -0.0347366, ground_truth: -0.00555801
result: -0.451576, ground_truth: -0.0782089
result: 0.106007, ground_truth: 0.0177994
result: 0.216206, ground_truth: 0.0370445
result: -0.116787, ground_truth: -0.0201721
result: 0.17548, ground_truth: 0.0299416
result: 0.125771, ground_truth: 0.0215034
result: 0.0527039, ground_truth: 0.00967026
result: 0.157513, ground_truth: 0.0278854
result: -0.0832481, ground_truth: -0.0137901
result: 0.051506, ground_truth: 0.00874329
result: -0.457565, ground_truth: -0.0790329
result: 0.365932, ground_truth: 0.0635948
result: -0.44379, ground_truth: -0.0765648
result: -0.101814, ground_truth: -0.0172882
result: -0.128166, ground_truth: -0.0220222
result: 0.121578, ground_truth: 0.0209923
result: 0.212013, ground_truth: 0.0358086
result: 0.700123, ground_truth: 0.119572
result: 0.813915, ground_truth: 0.140362
result: -0.377312, ground_truth: -0.0649338
result: -0.459961, ground_truth: -0.0797539
result: 0.0880394, ground_truth: 0.0148163
result: -0.187458, ground_truth: -0.0322113
result: 0.0113792, ground_truth: 0.00195313
result: 0.28508, ground_truth: 0.0492897
result: 2.73342, ground_truth: 0.470169
result: 0.430614, ground_truth: 0.074501
result: 0.304245, ground_truth: 0.0518608
result: 0.0886383, ground_truth: 0.0148163
result: -0.0425224, ground_truth: -0.00741196
result: -0.0155716, ground_truth: -0.00216293
result: 0.592319, ground_truth: 0.102386
result: 0.277893, ground_truth: 0.0475388
result: 0.348564, ground_truth: 0.0602989
result: -0.24136, ground_truth: -0.0409584
result: -0.60849, ground_truth: -0.105068
result: -0.0299454, ground_truth: -0.00535202
result: 0.134754, ground_truth: 0.0230484
result: -0.0568962, ground_truth: -0.00905609
result: 0.0215607, ground_truth: 0.00318909
result: -0.488708, ground_truth: -0.0837669
result: 0.176678, ground_truth: 0.0303535
result: 0.0754623, ground_truth: 0.0130653
result: 0.0964241, ground_truth: 0.0168762
result: -0.429417, ground_truth: -0.0741959
result: -0.0586929, ground_truth: -0.00998306
result: -0.0862427, ground_truth: -0.0148201
result: -0.0640831, ground_truth: -0.010807
result: 0.211414, ground_truth: 0.0363235
result: -0.129364, ground_truth: -0.0219193
result: -0.134155, ground_truth: -0.0233612
result: -0.256332, ground_truth: -0.0443535
result: 0.188656, ground_truth: 0.0320015
result: 0.456966, ground_truth: 0.0783081
result: 0.280289, ground_truth: 0.0471268
result: 0.368927, ground_truth: 0.0633888
result: 0.139545, ground_truth: 0.0241814
result: -0.385696, ground_truth: -0.0668907
result: 0.382103, ground_truth: 0.0656509
result: 0.0658798, ground_truth: 0.0114212
result: 0.157513, ground_truth: 0.0263405
result: 0.146732, ground_truth: 0.0254173
result: 0.220997, ground_truth: 0.0381775
result: 0.064682, ground_truth: 0.0108032
result: 0.245552, ground_truth: 0.0417786
result: 0.0419235, ground_truth: 0.00709915
result: 0.0539017, ground_truth: 0.00956726
result: 0.250942, ground_truth: 0.0427017
result: 0.0742645, ground_truth: 0.0121422
result: 0.409653, ground_truth: 0.070385
result: 0.461758, ground_truth: 0.0794411
result: 0.137749, ground_truth: 0.0240784
result: 0.0287476, ground_truth: 0.00534821
result: 0.182667, ground_truth: 0.0312805
result: -0.025753, ground_truth: -0.00452805
result: 0.343773, ground_truth: 0.0595818
result: 0.0892372, ground_truth: 0.0152283
result: 0.239563, ground_truth: 0.0415726
result: -0.159309, ground_truth: -0.0276833
result: 0, ground_truth: -0.00030899
result: 0.143139, ground_truth: 0.0244904
result: -0.162903, ground_truth: -0.0286102
result: 0.338982, ground_truth: 0.0577278
result: -0.117386, ground_truth: -0.0205841
result: 0.38929, ground_truth: 0.0669899
result: -0.613281, ground_truth: -0.104553
result: 0.0371323, ground_truth: 0.00606918
result: 0.191051, ground_truth: 0.0323105
result: -0.0736656, ground_truth: -0.012558
result: 0.324009, ground_truth: 0.0555649
result: -0.282085, ground_truth: -0.0477486
result: -0.533627, ground_truth: -0.0921021
result: -0.306042, ground_truth: -0.0521736
result: -0.267113, ground_truth: -0.0462074
result: 0.051506, ground_truth: 0.00884628
result: -0.27969, ground_truth: -0.0477486
result: 0.291668, ground_truth: 0.0502167
result: -0.38929, ground_truth: -0.0674057
result: 0.00179672, ground_truth: 0.000717163
result: -0.0850449, ground_truth: -0.0145111
result: 0.286877, ground_truth: 0.0491867
result: -0.177876, ground_truth: -0.0304604
result: -0.00419235, ground_truth: -0.000514984
result: 0.00419235, ground_truth: 0.000717163
result: 0.0161705, ground_truth: 0.00298309
result: -0.355152, ground_truth: -0.0611267
result: -0.344372, ground_truth: -0.0591736
result: -0.212612, ground_truth: -0.0359154
result: 0.272503, ground_truth: 0.0466156
result: -0.237167, ground_truth: -0.0404434
result: -0.236568, ground_truth: -0.0407524
result: -0.128166, ground_truth: -0.0219193
result: -0.576748, ground_truth: -0.0987892
result: 0.0754623, ground_truth: 0.0125542
result: 0.349163, ground_truth: 0.0608139
result: -0.0437202, ground_truth: -0.00782394
result: 0.17009, ground_truth: 0.0299416
result: -0.398273, ground_truth: -0.0679207
result: 0.0311432, ground_truth: 0.00586319
result: -0.436005, ground_truth: -0.0755348
result: 0.171288, ground_truth: 0.0304565
result: 0.577946, ground_truth: 0.0995064
result: 0.160507, ground_truth: 0.0275764
