[32mresult: -0.0192451, ground_truth: -0.0193462
result: -0.0397224, ground_truth: -0.0398245
result: 0.00689316, ground_truth: 0.00689411
result: 0.0376625, ground_truth: 0.0376625
result: 0.0551529, ground_truth: 0.0552597
result: -0.0451775, ground_truth: -0.0451756
result: 0.0338516, ground_truth: 0.0338554
result: 0.0204773, ground_truth: 0.0205803
result: 0.0628738, ground_truth: 0.0626688
result: -0.0607147, ground_truth: -0.0605087
result: -0.0834541, ground_truth: -0.083353
result: 0.0597839, ground_truth: 0.0596838
result: 0.0101852, ground_truth: 0.0102901
result: 0.0336456, ground_truth: 0.0337524
result: 0.0292244, ground_truth: 0.0290184
result: 0.0203743, ground_truth: 0.0206833
result: -0.0385895, ground_truth: -0.0388985
result: -0.0335464, ground_truth: -0.0337534
result: 0.0056572, ground_truth: 0.0057621
result: 0.0308685, ground_truth: 0.0306654
result: -0.0342674, ground_truth: -0.0338564
result: -0.0417786, ground_truth: -0.0414715
result: -0.0840721, ground_truth: -0.084074
result: -0.260242, ground_truth: -0.260452
result: -0.0340614, ground_truth: -0.0339594
result: 0.0123482, ground_truth: 0.0123482
result: -0.134907, ground_truth: -0.135012
result: -0.0391045, ground_truth: -0.0392075
result: -0.0403404, ground_truth: -0.0403395
result: 0.0246964, ground_truth: 0.0244904
result: -0.0926132, ground_truth: -0.0927181
result: -0.0181122, ground_truth: -0.0178032
result: -0.0570107, ground_truth: -0.0572157
result: -0.000514984, ground_truth: -0.000411987
result: -0.0964203, ground_truth: -0.0961132
result: -0.110004, ground_truth: -0.109799
result: -0.0420876, ground_truth: -0.0420885
result: 0.0376625, ground_truth: 0.0374565
result: -0.000720978, ground_truth: -0.000926971
result: -0.0969353, ground_truth: -0.0967312
result: -0.0191422, ground_truth: -0.0194492
result: 0.0321045, ground_truth: 0.0322084
result: 0.00112915, ground_truth: 0.00164604
result: 0.0811882, ground_truth: 0.0812941
result: 0.00915527, ground_truth: 0.00884914
result: -0.0178032, ground_truth: -0.0182142
result: 0.0304565, ground_truth: 0.0305624
result: -0.0658607, ground_truth: -0.0657568
result: 0.0717201, ground_truth: 0.0716209
result: -0.0312843, ground_truth: -0.0312834
result: -0.0360184, ground_truth: -0.0358114
result: -0.136967, ground_truth: -0.136453
result: 0.00534821, ground_truth: 0.00545311
