[32mresult: -0.05933, ground_truth: -0.0193461
result: -0.0902252, ground_truth: -0.0451752
result: 0.332451, ground_truth: 0.0338557
result: 0.129013, ground_truth: 0.0205809
result: -0.357204, ground_truth: 0.062669
result: 0.136562, ground_truth: -0.060508
result: -0.198002, ground_truth: -0.0833528
result: 0.219761, ground_truth: 0.0596847
result: 0.11462, ground_truth: 0.0102905
result: -0.0449371, ground_truth: 0.0337528
result: -0.327366, ground_truth: 0.0290191
result: 0.198875, ground_truth: 0.0206839
result: 0.121815, ground_truth: -0.038898
result: -0.143234, ground_truth: -0.0337528
result: 0.060379, ground_truth: 0.00576267
result: 0.345795, ground_truth: 0.0306656
result: -0.124454, ground_truth: -0.0338557
result: -0.264175, ground_truth: -0.0414706
result: -0.223278, ground_truth: -0.0840732
result: -0.0261574, ground_truth: -0.260452
result: -0.146217, ground_truth: -0.0339586
result: -0.161491, ground_truth: 0.0123486
result: 0.335262, ground_truth: -0.135011
result: 0.0870628, ground_truth: -0.0392067
result: 0.213268, ground_truth: -0.0403387
result: 0.272247, ground_truth: 0.0244913
result: -0.313499, ground_truth: -0.0927172
result: -0.315254, ground_truth: -0.0178025
result: 0.293659, ground_truth: -0.057215
result: -0.322102, ground_truth: -0.00041163
result: 0.0884666, ground_truth: -0.096113
result: 0.305771, ground_truth: -0.109799
result: -0.302792, ground_truth: -0.042088
result: 0.191151, ground_truth: 0.0374573
result: 0.248375, ground_truth: -0.000926152
result: -0.256977, ground_truth: -0.0967305
result: 0.0268555, ground_truth: -0.019449
result: -0.342636, ground_truth: 0.0322092
result: 0.193607, ground_truth: 0.00164647
result: 0.0849533, ground_truth: 0.0812947
result: -0.177113, ground_truth: 0.0088498
result: 0.13533, ground_truth: -0.0182141
result: -0.211517, ground_truth: 0.0305627
result: 0.0282593, ground_truth: -0.0657561
result: -0.156399, ground_truth: 0.0716217
result: -0.354572, ground_truth: -0.031283
result: -0.0428314, ground_truth: -0.0358108
result: -0.250484, ground_truth: -0.136452
result: -0.000530243, ground_truth: 0.00545394
result: 0.138142, ground_truth: -0.041059
result: 0.106194, ground_truth: -0.0477478
result: -0.0352821, ground_truth: -0.0524814
result: -0.158504, ground_truth: -0.0503204
result: -0.0702133, ground_truth: 0.0875719
result: -0.12059, ground_truth: -0.0597877
result: 0.221165, ground_truth: -0.0273727
result: -0.0886459, ground_truth: 0.00205809
result: -0.235741, ground_truth: 0.0386922
result: 0.0710869, ground_truth: -0.0382806
result: -0.312271, ground_truth: 0.0311801
result: 0.323502, ground_truth: -0.0514524
result: 0.305771, ground_truth: 0.0801628
result: -0.10918, ground_truth: -0.0170822
result: 0.144283, ground_truth: -0.00782077
result: -0.341759, ground_truth: 0.0249029
result: -0.0875931, ground_truth: -0.028093
result: -0.0990028, ground_truth: 0.00874689
result: 0.239071, ground_truth: 0.0364283
result: -0.150784, ground_truth: -0.0220216
result: 0.0782852, ground_truth: 0.0490856
result: -0.12656, ground_truth: 0.0343702
result: -0.296474, ground_truth: 0.00905561
result: -0.0670547, ground_truth: -0.0370457
result: -0.0566978, ground_truth: 0.0308714
result: 0.180443, ground_truth: -0.0277843
result: -0.0124664, ground_truth: 0.0697694
result: -0.19923, ground_truth: 0.0160531
result: 0.0296631, ground_truth: 0.00874689
result: 0.188343, ground_truth: -0.0277843
result: 0.290501, ground_truth: -0.0322092
result: 0.118481, ground_truth: 0.136863
result: 0.0770569, ground_truth: 0.0415735
result: 0.311916, ground_truth: -0.00473362
result: -0.179394, ground_truth: 0.00288132
result: -0.0217667, ground_truth: 0.00524813
result: 0.122692, ground_truth: -0.0169793
result: 0.0789871, ground_truth: -0.0609196
result: 0.334385, ground_truth: 0.00596847
result: 0.0143929, ground_truth: -0.0146125
result: -0.186943, ground_truth: 0.00113194
result: -0.0437088, ground_truth: 0.002161
result: -0.0751305, ground_truth: 0.06483
result: 0.011055, ground_truth: -0.0215071
result: 0.358433, ground_truth: 0.00493942
result: 0.315075, ground_truth: -0.000720337
result: 0.0898705, ground_truth: 0.000308707
result: 0.28664, ground_truth: -0.00802657
result: 0.20607, ground_truth: -0.0117311
result: 0.218884, ground_truth: 0.0597877
result: 0.201508, ground_truth: 0.0258291
result: -0.249783, ground_truth: -0.0277843
result: -0.142532, ground_truth: -0.0127602
result: 0.190273, ground_truth: 0.106506
result: -0.316658, ground_truth: 0.0581412
result: -0.175007, ground_truth: -0.0387951
result: 0.0214119, ground_truth: -0.0152299
result: 0.0479164, ground_truth: 0.0260349
result: -0.117783, ground_truth: 0.0181112
result: -0.0396729, ground_truth: -0.0445578
result: 0.356148, ground_truth: -0.0613312
result: 0.321045, ground_truth: -0.00452782
result: 0.168507, ground_truth: -0.0218158
result: -0.202564, ground_truth: -0.0305627
result: 0.203613, ground_truth: 0.0454839
result: -0.210815, ground_truth: -0.0768698
result: 0.236263, ground_truth: -0.0421909
result: 0.135155, ground_truth: -0.00998177
result: 0.159904, ground_truth: 0.0156415
result: 0.141476, ground_truth: -0.0433229
result: 0.335087, ground_truth: -0.0405445
result: -0.041954, ground_truth: -0.0610225
result: -0.0212402, ground_truth: -0.0157444
result: -0.0196609, ground_truth: -0.0218158
result: 0.176231, ground_truth: -0.0100847
result: -0.221695, ground_truth: 0.0244913
result: 0.0154457, ground_truth: -0.0571121
result: -0.0623169, ground_truth: -0.0213013
result: 0.331749, ground_truth: 0.00411618
result: 0.0480919, ground_truth: -0.157033
result: 0.181496, ground_truth: -0.0214042
result: -0.0147476, ground_truth: -0.00751206
result: 0.0846024, ground_truth: 0.0457926
result: 0.269436, ground_truth: 0.0390009
result: -0.0619659, ground_truth: -0.017288
result: 0.0554657, ground_truth: 0.0759437
result: 0.153938, ground_truth: -0.00771786
result: 0.28857, ground_truth: 0.0199635
result: -0.00632095, ground_truth: -0.0520698
result: -0.0884705, ground_truth: 0.0361196
result: 0.0782852, ground_truth: 0.0755321
result: -0.0974197, ground_truth: 0.0611254
result: -0.275234, ground_truth: -0.0333411
result: 0.138844, ground_truth: 0.0396183
result: 0.210987, ground_truth: -0.0285046
result: -0.114098, ground_truth: -0.0940549
result: 0.245564, ground_truth: -0.0299453
result: -0.241707, ground_truth: 0.0910707
result: 0.0617867, ground_truth: -0.013995
result: -0.24469, ground_truth: -0.0342673
result: -0.299458, ground_truth: -0.0462042
result: 0.0516052, ground_truth: 0.0142009
result: 0.22924, ground_truth: -0.00565977
result: -0.0912781, ground_truth: 0.0358108
result: -0.270844, ground_truth: -0.00329296
result: 0.106194, ground_truth: -0.00555687
result: -0.134808, ground_truth: -0.0782076
result: 0.0798645, ground_truth: 0.0178025
result: -0.117783, ground_truth: 0.0370457
result: 0.00930023, ground_truth: -0.0201693
result: -0.0158005, ground_truth: 0.0299453
result: -0.0426559, ground_truth: 0.0215071
result: 0.0491447, ground_truth: 0.00967304
result: 0.182022, ground_truth: 0.0278872
result: 0.279968, ground_truth: -0.0137892
result: -0.262245, ground_truth: 0.00874689
result: 0.277687, ground_truth: -0.0790308
result: 0.211689, ground_truth: 0.0635951
result: 0.0521317, ground_truth: -0.0765611
result: -0.111111, ground_truth: -0.017288
result: -0.00210953, ground_truth: -0.0220216
result: -0.13586, ground_truth: 0.0209926
result: -0.184483, ground_truth: 0.0358108
result: -0.235741, ground_truth: 0.119575
result: -0.277515, ground_truth: 0.140362
result: -0.0424805, ground_truth: -0.0649329
result: -0.10918, ground_truth: -0.0797512
result: 0.0428276, ground_truth: 0.0148183
result: 0.0523071, ground_truth: -0.0322092
result: 0.00754547, ground_truth: 0.00195518
result: -0.3307, ground_truth: 0.0492914
result: 0.265751, ground_truth: 0.470172
result: 0.151657, ground_truth: 0.074503
result: 0.0131645, ground_truth: 0.051864
result: -0.0721436, ground_truth: 0.0148183
result: -0.178341, ground_truth: -0.00740914
result: -0.177464, ground_truth: -0.00216101
result: -0.304897, ground_truth: 0.10239
result: -0.199932, ground_truth: 0.047542
result: -0.285591, ground_truth: 0.0603022
result: -0.0352821, ground_truth: -0.0409561
result: 0.107948, ground_truth: -0.105066
result: -0.178867, ground_truth: -0.00535105
result: -0.325962, ground_truth: 0.0230507
result: -0.238548, ground_truth: -0.00905563
result: -0.0119362, ground_truth: 0.00319004
result: 0.292606, ground_truth: -0.0837645
result: 0.297699, ground_truth: 0.0303569
result: -0.169914, ground_truth: 0.0130689
result: 0.0793381, ground_truth: 0.0168764
result: -0.159206, ground_truth: -0.0741943
result: -0.0800438, ground_truth: -0.00998177
result: 0.154465, ground_truth: -0.0148183
result: 0.243282, ground_truth: -0.010805
result: 0.119709, ground_truth: 0.0363254
result: -0.0282631, ground_truth: -0.0219187
result: 0.0744247, ground_truth: -0.0233594
result: -0.161667, ground_truth: -0.0443519
result: 0.0351028, ground_truth: 0.0320034
result: 0.215023, ground_truth: 0.0783105
result: 0.222397, ground_truth: 0.0471304
result: 0.244862, ground_truth: 0.0633893
result: -0.192383, ground_truth: 0.0241826
result: -0.16658, ground_truth: -0.0668881
result: 0.0810928, ground_truth: 0.0656532
result: -0.231701, ground_truth: 0.0114224
result: 0.342983, ground_truth: 0.0263436
result: -0.262421, ground_truth: 0.0254175
result: 0.177986, ground_truth: 0.0381777
result: -0.0431824, ground_truth: 0.010805
result: 0.16991, ground_truth: 0.0417793
result: -0.223278, ground_truth: 0.00710042
result: 0.201508, ground_truth: 0.00957014
result: -0.357906, ground_truth: 0.0427055
result: 0.220989, ground_truth: 0.0121428
result: -0.00807571, ground_truth: 0.0703868
result: 0.239071, ground_truth: 0.0794425
result: 0.109528, ground_truth: 0.0240797
result: 0.307701, ground_truth: 0.00535104
result: 0.0163231, ground_truth: 0.031283
result: 0.27874, ground_truth: -0.00452782
result: 0.0164986, ground_truth: 0.0595818
result: 0.159554, ground_truth: 0.0152299
result: 0.353691, ground_truth: 0.0415735
result: 0.0187798, ground_truth: -0.0276814
result: 0.0043869, ground_truth: -0.000308722
result: 0.215199, ground_truth: 0.0244913
result: -0.122345, ground_truth: -0.0286075
result: -0.221695, ground_truth: 0.0577296
result: 0.148849, ground_truth: -0.0205809
result: -0.22398, ground_truth: 0.066991
result: 0.0765305, ground_truth: -0.104551
result: -0.00333786, ground_truth: 0.00607137
result: 0.118656, ground_truth: 0.0323121
result: 0.317005, ground_truth: -0.0125544
result: -0.0440598, ground_truth: 0.0555686
result: -0.0542412, ground_truth: -0.0477478
result: -0.250309, ground_truth: -0.0920997
result: 0.0459862, ground_truth: -0.0521727
result: -0.187996, ground_truth: -0.0462042
result: -0.288223, ground_truth: 0.0088498
result: 0.157623, ground_truth: -0.0477478
result: -0.115326, ground_truth: 0.0502175
result: 0.0305405, ground_truth: -0.0674026
result: -0.0417786, ground_truth: 0.000720322
result: 0.0982933, ground_truth: -0.0145096
result: -0.184658, ground_truth: 0.0491885
result: -0.0280876, ground_truth: -0.0304598
result: 0.0761795, ground_truth: -0.000514537
result: -0.132702, ground_truth: 0.000720322
result: -0.0205383, ground_truth: 0.00298423
result: -0.358963, ground_truth: -0.0611254
result: -0.25803, ground_truth: -0.0591702
result: -0.0124664, ground_truth: -0.0359138
result: 0.207649, ground_truth: 0.0466158
result: 0.0756531, ground_truth: -0.0404416
result: -0.103565, ground_truth: -0.0407503
result: 0.0480919, ground_truth: -0.0219187
result: 0.06073, ground_truth: -0.0987885
result: 0.235386, ground_truth: 0.0125544
result: 0.257851, ground_truth: 0.0608167
result: -0.0688095, ground_truth: -0.00782077
result: -0.0394974, ground_truth: 0.0299453
result: 0.0219383, ground_truth: -0.0679171
result: -0.0551186, ground_truth: 0.00586556
result: -0.157276, ground_truth: -0.0755321
result: -0.123577, ground_truth: 0.0304598
result: 0.121815, ground_truth: 0.0995089
result: -0.149204, ground_truth: 0.0275785
result: 0.0105286, ground_truth: 0.0754292
result: 0.232574, ground_truth: 0.0206839
result: 0.173073, ground_truth: -0.00360167
result: 0.00596619, ground_truth: -0.121325
result: 0.261539, ground_truth: 0.0596847
result: -0.0300179, ground_truth: -0.0509378
result: 0.339825, ground_truth: -0.0360167
result: -0.0559959, ground_truth: -0.0478507
result: 0.241879, ground_truth: 0.00946723
result: -0.243813, ground_truth: 0.0258291
result: 0.250656, ground_truth: -0.0663736
result: 0.120762, ground_truth: -0.0117311
result: -0.297352, ground_truth: 0.0922026
result: -0.153591, ground_truth: 0.0114224
result: -0.217484, ground_truth: -0.0494972
result: 0.190098, ground_truth: -0.0599935
result: -0.0707397, ground_truth: -0.0577296
result: 0.260487, ground_truth: -0.0308714
result: -0.14727, ground_truth: -0.0571121
result: -0.0317726, ground_truth: 0.0264465
result: -0.0412521, ground_truth: -0.0359138
result: -0.224331, ground_truth: -0.0418822
result: 0.206772, ground_truth: -0.0219187
result: 0.241352, ground_truth: 0.0263436
result: 0.0298386, ground_truth: -0.0611254
result: -0.310516, ground_truth: 0.00164647
result: 0.0187798, ground_truth: -0.0694607
result: 0.00737, ground_truth: -0.0390009
result: 0.331573, ground_truth: -0.0402358
result: 0.125153, ground_truth: 0.0222274
