[32mresult: -0.0195465, ground_truth: -0.0193481
result: -0.040329, ground_truth: -0.0398254
result: 0.00616455, ground_truth: 0.00688171
result: 0.0369263, ground_truth: 0.0376587
result: 0.0547333, ground_truth: 0.0552521
result: -0.0453644, ground_truth: -0.0451813
result: 0.0325012, ground_truth: 0.033844
result: 0.0193329, ground_truth: 0.0205688
result: 0.0634766, ground_truth: 0.0626678
result: -0.0615234, ground_truth: -0.0605164
result: -0.0818939, ground_truth: -0.0833588
result: 0.0598755, ground_truth: 0.0596771
result: 0.0102844, ground_truth: 0.0102844
result: 0.0328217, ground_truth: 0.0337524
result: 0.0295258, ground_truth: 0.029007
result: 0.020462, ground_truth: 0.0206757
result: -0.0388794, ground_truth: -0.0389099
result: -0.0340576, ground_truth: -0.0337677
result: 0.00575256, ground_truth: 0.00575256
result: 0.0313721, ground_truth: 0.0306549
result: -0.0341492, ground_truth: -0.0338593
result: -0.0419769, ground_truth: -0.0414734
result: -0.0848846, ground_truth: -0.0840759
result: -0.260422, ground_truth: -0.260452
result: -0.0340576, ground_truth: -0.0339661
result: 0.0130615, ground_truth: 0.0123444
result: -0.135193, ground_truth: -0.135025
result: -0.0404358, ground_truth: -0.0392151
result: -0.040741, ground_truth: -0.0403442
result: 0.0236511, ground_truth: 0.0244904
result: -0.0933228, ground_truth: -0.0927277
result: -0.0194397, ground_truth: -0.017807
result: -0.0585327, ground_truth: -0.0572205
result: 9.15527e-05, ground_truth: -0.000411987
result: -0.0966034, ground_truth: -0.0961151
result: -0.110809, ground_truth: -0.109802
result: -0.0431061, ground_truth: -0.042099
result: 0.0381622, ground_truth: 0.0374451
result: -0.000808716, ground_truth: -0.000930786
result: -0.096405, ground_truth: -0.0967407
result: -0.0187225, ground_truth: -0.019455
result: 0.0318909, ground_truth: 0.032196
result: 0.0012207, ground_truth: 0.00163269
result: 0.0820007, ground_truth: 0.0812836
result: 0.00894165, ground_truth: 0.00883484
result: -0.0180969, ground_truth: -0.018219
result: 0.0313721, ground_truth: 0.0305481
result: -0.0665588, ground_truth: -0.0657654
result: 0.0719147, ground_truth: 0.0716095
result: -0.0312653, ground_truth: -0.0312958
result: -0.0365143, ground_truth: -0.0358124
result: -0.137558, ground_truth: -0.136459
result: 0.00514221, ground_truth: 0.00544739
result: -0.039505, ground_truth: -0.0410614
result: -0.0481415, ground_truth: -0.04776
result: -0.052063, ground_truth: -0.0524902
result: -0.0507202, ground_truth: -0.0503235
result: 0.0869446, ground_truth: 0.0875702
result: -0.0601807, ground_truth: -0.0597992
result: -0.0278778, ground_truth: -0.0273743
result: 0.00215149, ground_truth: 0.00204468
result: 0.0391998, ground_truth: 0.038681
result: -0.0378571, ground_truth: -0.0382843
result: 0.0312653, ground_truth: 0.0311737
result: -0.0515442, ground_truth: -0.0514526
result: 0.0801544, ground_truth: 0.0801544
result: -0.016861, ground_truth: -0.0170898
result: -0.00679016, ground_truth: -0.00782776
result: 0.0245819, ground_truth: 0.0249023
result: -0.0280762, ground_truth: -0.0281067
result: 0.00935364, ground_truth: 0.00874329
result: 0.0366211, ground_truth: 0.0364227
result: -0.0223236, ground_truth: -0.0220337
result: 0.0484619, ground_truth: 0.0490723
result: 0.0344696, ground_truth: 0.0343628
result: 0.0101776, ground_truth: 0.00904846
result: -0.0369263, ground_truth: -0.0370483
result: 0.0306549, ground_truth: 0.0308685
result: -0.027359, ground_truth: -0.0277863
result: 0.0682068, ground_truth: 0.0697632
result: 0.0151215, ground_truth: 0.0160522
result: 0.00874329, ground_truth: 0.00874329
result: -0.027771, ground_truth: -0.0277863
result: -0.0314789, ground_truth: -0.0322113
result: 0.137146, ground_truth: 0.136856
result: 0.0417633, ground_truth: 0.0415649
result: -0.00338745, ground_truth: -0.00474548
result: 0.00267029, ground_truth: 0.00286865
result: 0.00440979, ground_truth: 0.00523376
result: -0.0169678, ground_truth: -0.016983
result: -0.0615234, ground_truth: -0.0609283
result: 0.00523376, ground_truth: 0.00596619
result: -0.0155334, ground_truth: -0.0146179
result: 0.00195313, ground_truth: 0.00112915
result: 0.0017395, ground_truth: 0.00215149
result: 0.0655365, ground_truth: 0.0648193
result: -0.0207825, ground_truth: -0.0215149
result: 0.00482178, ground_truth: 0.00492859
result: -0.00112915, ground_truth: -0.000732422
result: -0.000610352, ground_truth: 0.000305176
result: -0.00801086, ground_truth: -0.00804138
result: -0.0114136, ground_truth: -0.011734
result: 0.0597687, ground_truth: 0.0597839
result: 0.0255127, ground_truth: 0.0258179
result: -0.0275726, ground_truth: -0.0277863
result: -0.0129547, ground_truth: -0.0127716
result: 0.107925, ground_truth: 0.106491
result: 0.0581207, ground_truth: 0.058136
result: -0.0384674, ground_truth: -0.0388031
result: -0.0154266, ground_truth: -0.0152435
result: 0.026123, ground_truth: 0.0260315
result: 0.0188293, ground_truth: 0.0180969
result: -0.0446472, ground_truth: -0.0445709
result: -0.0620422, ground_truth: -0.0613403
result: -0.0039978, ground_truth: -0.00453186
result: -0.0226288, ground_truth: -0.0218201
result: -0.0300446, ground_truth: -0.0305634
result: 0.0448608, ground_truth: 0.0454712
result: -0.0769501, ground_truth: -0.0768738
result: -0.0421753, ground_truth: -0.0422058
result: -0.00946045, ground_truth: -0.00999451
result: 0.0153198, ground_truth: 0.0156403
result: -0.0425873, ground_truth: -0.043335
result: -0.040329, ground_truth: -0.0405579
result: -0.0611115, ground_truth: -0.0610352
result: -0.0157318, ground_truth: -0.0157471
result: -0.022522, ground_truth: -0.0218201
result: -0.0100708, ground_truth: -0.0100861
result: 0.0242767, ground_truth: 0.0244904
result: -0.0570984, ground_truth: -0.0571136
result: -0.0209808, ground_truth: -0.0213165
result: 0.00286865, ground_truth: 0.00410461
result: -0.157532, ground_truth: -0.157043
result: -0.021698, ground_truth: -0.0214081
result: -0.00791931, ground_truth: -0.00752258
result: 0.0461884, ground_truth: 0.0457916
result: 0.0378571, ground_truth: 0.0389862
result: -0.0173798, ground_truth: -0.0172882
result: 0.0756226, ground_truth: 0.075943
result: -0.00874329, ground_truth: -0.00772095
result: 0.0196381, ground_truth: 0.0199585
